id	tool	original_report_relative_to_reports_reports	source_path	original_line	original_column	rule	original_finding	current_edit_locus	author_disposition	source_correction
K069	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	709	5	standard:class-signature	No whitespace expected between opening parenthesis and first parameter name	PoolLeaseDispatchCreatorIntegrationTest.kt:719-721	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged barrier parameters; wrap same supertypes in same order.
K070	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	710	5	standard:class-signature	Single whitespace expected before parameter	PoolLeaseDispatchCreatorIntegrationTest.kt:719-721	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged barrier parameters; wrap same supertypes in same order.
K071	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	711	5	standard:class-signature	Single whitespace expected before parameter	PoolLeaseDispatchCreatorIntegrationTest.kt:719-721	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged barrier parameters; wrap same supertypes in same order.
K072	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	711	34	standard:class-signature	No whitespace expected between last parameter and closing parenthesis	PoolLeaseDispatchCreatorIntegrationTest.kt:719-721	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged barrier parameters; wrap same supertypes in same order.
K073	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	712	36	standard:class-signature	Super type should start on a newline	PoolLeaseDispatchCreatorIntegrationTest.kt:719-721	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged barrier parameters; wrap same supertypes in same order.
K074	Ktlint	ktlint/ktlintTestSourceSetCheck/ktlintTestSourceSetCheck.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	757	67	standard:function-signature	First line of body expression fits on same line as function signature	PoolLeaseDispatchCreatorIntegrationTest.kt:766	EDIT_AUTHORED_NOT_RERUN	Place unchanged creatorEpochState expression on signature line.
D001	Detekt	detekt/detekt.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	462	17	NestedBlockDepth	5/5 - [enterLeaseDispatch] Signature=PoolLifecycle.kt$PoolLifecycle$private fun enterLeaseDispatch(creator: LeaseDispatchCreator): Boolean	PoolLifecycle.kt:668-718	EDIT_AUTHORED_NOT_RERUN	Move enter into existing creator; wrap initial guard; extract only failed-entry restoration, forwarding original local frame.
D002	Detekt	detekt/detekt.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	9	16	TooManyFunctions	44/40 - [PoolLifecycle] Signature=PoolLifecycle.kt$PoolLifecycle	PoolLifecycle.kt:9 (outer declarations)	EDIT_AUTHORED_NOT_RERUN	Remove only five outer lease bridges by moving bodies into existing nested methods (44 -> 39 direct declarations); no configuration waiver.
D003	Detekt	detekt/detekt.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	441	17	ComplexCondition	4/4 - [<anonymous>] Signature=PoolLifecycle.kt$PoolLifecycle$acquisition.entitlement !== entitlement || !frame.authentic(this, issuance) || !frame.active() || PoolCallFrames.current() !== frame	PoolLifecycle.kt:576-586	EDIT_AUTHORED_NOT_RERUN	Move bindLease into LeaseEntitlement; split adjacent under-same-gate guards without reordered reads.
D004	Detekt	detekt/detekt.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	543	13	ComplexCondition	4/4 - [failLeaseDispatch] Signature=PoolLifecycle.kt$PoolLifecycle$owner.ownershipLockHeld() || !creator.frame.authenticCreator(this, issuance, creator) || !creator.setupStarted || creator.frame.ended()	PoolLifecycle.kt:755-767	EDIT_AUTHORED_NOT_RERUN	Move failBeforeEnd into existing creator; split guard owner/authentication then setup/ended, same lazy order.
D005	Detekt	detekt/detekt.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	701	17	ComplexCondition	4/4 - [bindLeaseLocked] Signature=PoolLifecycle.kt$PoolLifecycle.LeaseEntitlement$issuance !== authority || phase !== EntitlementPhase.AVAILABLE || prepared != null || lease != null	PoolLifecycle.kt:601-607	EDIT_AUTHORED_NOT_RERUN	Split issuer/phase rejection from prepared/lease rejection in same existing locked method.
D006	Detekt	detekt/detekt.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PersistenceJdbcLease.kt	405	17	ComplexCondition	4/4 - [select] Signature=PersistenceJdbcLease.kt$PersistenceJdbcDispatch.Frame$!lease.issuedDispatch(issuance) || ended || caller !== Thread.currentThread() || frames.get() !== this	PersistenceJdbcLease.kt:404-408	EDIT_AUTHORED_NOT_RERUN	Split issuedDispatch guard before unchanged ended/caller/TL guard; same refusal.
D007	Detekt	detekt/detekt.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/OwnedPoolLeaseCreatorPendingProbe.kt	16	9	LongMethod	"103/100 - [verify] Signature=OwnedPoolLeaseCreatorPendingProbe.kt$OwnedPoolLeaseCreatorPendingProbe$@Suppress(""TooGenericExceptionCaught"") fun verify(case: PgLifecycleDatabaseCase, port: Int, nonce: String, handshake: PgLifecycleDatabaseHandshake)"	OwnedPoolLeaseCreatorPendingProbe.kt:16-140	EDIT_AUTHORED_NOT_RERUN	Extract only original caller-thread body into private verifyCaller; no caller, lifecycle, gates, handshake or assertions changed.
D008	Detekt	detekt/detekt.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/OwnedPoolLeaseCreatorPendingProbe.kt	16	9	CyclomaticComplexMethod	"33/25 - [verify] Signature=OwnedPoolLeaseCreatorPendingProbe.kt$OwnedPoolLeaseCreatorPendingProbe$@Suppress(""TooGenericExceptionCaught"") fun verify(case: PgLifecycleDatabaseCase, port: Int, nonce: String, handshake: PgLifecycleDatabaseHandshake)"	OwnedPoolLeaseCreatorPendingProbe.kt:16-140	EDIT_AUTHORED_NOT_RERUN	Extract only original caller-thread body into private verifyCaller; no caller, lifecycle, gates, handshake or assertions changed.
D009	Detekt	detekt/detekt.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/OwnedPoolLeaseCreatorPendingProbe.kt	261	17	ComplexCondition	4/4 - [remove] Signature=OwnedPoolLeaseCreatorPendingProbe.kt$CreatorInvocationFailure.<no name provided>$Thread.currentThread() === caller && poolDelegate.get() === selected?.frame && selected != null && !entryFailure	OwnedPoolLeaseCreatorPendingProbe.kt:272-283	EDIT_AUTHORED_NOT_RERUN	Compute exactFrame using caller then real pool-TL get then selected frame; next guard preserves selected-null/entryFailure order.
D010	Detekt	detekt/detekt.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/OwnedPoolLeaseCreatorPendingProbe.kt	284	17	ComplexCondition	4/4 - [remove] Signature=OwnedPoolLeaseCreatorPendingProbe.kt$CreatorInvocationFailure.<no name provided>$Thread.currentThread() === caller && selected != null && coreDelegate.get() === creator.call && coreFailure	OwnedPoolLeaseCreatorPendingProbe.kt:296-314	EDIT_AUTHORED_NOT_RERUN	Compute selectedCaller using caller then selected-null; next guard preserves real core-TL get/creator/coreFailure order.
D011	Detekt	detekt/detekt.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	56	17	LongMethod	108/100 - [fatalRoute] Signature=PoolLeaseDispatchCreatorIntegrationTest.kt$PoolLeaseDispatchCreatorIntegrationTest$private fun fatalRoute(statementRoute: Boolean)	PoolLeaseDispatchCreatorIntegrationTest.kt:56-192	EDIT_AUTHORED_NOT_RERUN	Extract exactly twelve initial read-only assertions in same order before OwnedCallerTestScope; unchanged route/finally.
D012	Detekt	detekt/detekt.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PersistenceLeaseCompletion.kt	85	18	ReturnCount	[quiescent] Signature=PersistenceLeaseCompletion.kt$PersistenceLeaseCompletion$internal fun quiescent(): Boolean	PersistenceLeaseCompletion.kt:85-93	EDIT_AUTHORED_NOT_RERUN	Combine checkout and epoch false guards with lazy OR, reducing return statements from 7 to 6.
D013	Detekt	detekt/detekt.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycleFrames.kt	96	1	MaxLineLength	[prepareLeaseDispatch] Signature=PoolLifecycleFrames.kt$PoolCallFrame.Companion$internal	PoolLifecycleFrames.kt:96-102	EDIT_AUTHORED_NOT_RERUN	Wrap prepareLeaseDispatch signature, keep same expression and argument order.
D014	Detekt	detekt/detekt.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	464	1	MaxLineLength	[enterLeaseDispatch] Signature=PoolLifecycle.kt$PoolLifecycle$if (owner.ownershipLockHeld() || !frame.authenticCreator(this, issuance, creator) || !creator.call.admitsCreator(creator.lease, creator.dispatch)) return false	PoolLifecycle.kt:668-718	EDIT_AUTHORED_NOT_RERUN	Move enter into existing creator; wrap initial guard; extract only failed-entry restoration, forwarding original local frame.
D015	Detekt	detekt/detekt.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	543	1	MaxLineLength	[failLeaseDispatch] Signature=PoolLifecycle.kt$PoolLifecycle$if (owner.ownershipLockHeld() || !creator.frame.authenticCreator(this, issuance, creator) || !creator.setupStarted || creator.frame.ended()) return false	PoolLifecycle.kt:755-767	EDIT_AUTHORED_NOT_RERUN	Move failBeforeEnd into existing creator; split guard owner/authentication then setup/ended, same lazy order.
D016	Detekt	detekt/detekt.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLifecycle.kt	697	1	MaxLineLength	[prepareDispatch] Signature=PoolLifecycle.kt$PoolLifecycle.LeaseEntitlement$internal	PoolLifecycle.kt:588-599	EDIT_AUTHORED_NOT_RERUN	Move prepareDispatch body into existing entitlement method; multiline signature and pool issuer retained.
D017	Detekt	detekt/detekt.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PersistenceJdbcGuardCall.kt	95	1	MaxLineLength	[retainCreator] Signature=PersistenceJdbcGuardCall.kt$PersistenceJdbcGuardCall$internal	PersistenceJdbcGuardCall.kt:95-99	EDIT_AUTHORED_NOT_RERUN	Wrap retainCreator signature; parameter order and body unchanged.
D018	Detekt	detekt/detekt.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	274	1	MaxLineLength	[forgedToken] Signature=PoolLeaseDispatchCreatorIntegrationTest.kt$PoolLeaseDispatchCreatorIntegrationTest$val forgedToken = PersistenceProducerEpoch.Call.prepare(lease.state.epoch, Any(), Thread.currentThread(), PersistenceProducerEpoch.Kind.FOREGROUND, null)	PoolLeaseDispatchCreatorIntegrationTest.kt:278-284	EDIT_AUTHORED_NOT_RERUN	Wrap forgedToken arguments, preserving argument order and forged identities.
D019	Detekt	detekt/detekt.txt	src/test/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PoolLeaseDispatchCreatorIntegrationTest.kt	349	1	MaxLineLength	[present returned dispatch cannot upgrade through pool authority and a revoked lease cannot enter a prepared creator] Signature=PoolLeaseDispatchCreatorIntegrationTest.kt$PoolLeaseDispatchCreatorIntegrationTest$fun	PoolLeaseDispatchCreatorIntegrationTest.kt:359-411	EDIT_AUTHORED_NOT_RERUN	Wrap expression body and reindent same existing test statements and finally scopes.
